"Priority
Rank",Field #,Field Name,Business Name,Business Definition,"Valid Values 
(Note:  The values provided are examples only and may not be a complete list of values)","Field
Type",Length,"Start 
Pos","End 
Pos","Digits if 
numeric","Decimals if 
numeric",NCPDP D.0 Field #,NCPDP D.0 Field Name,NCPDP D.0 Field Description
3,203,DATABASE2,Database Code 2 - Drug Utilization Review (DUR),The code that indentifies the source of the data associated with the Drug Utilization Review (DUR). ,"2 =  Medi-Span
4 = Processor Developed  

",A,1,1650,1650,0,0,532-FW,Database Indicator,Code identifying the source of drug information used for DUR processing or to define the database used for identifying the product.
3,204,OTHRPRESC2,Other Prescriber Code 2 - Drug Utilization Review (DUR),"The code that compares the medical provider who wrote the current prescription with the medical provider who wrote the previous prescription.  If this field contains a value, then the prescriber is related to the Drug Utilization Review (DUR) conflict with the current prescription. 

Note:  These fields help prevent prescription abuse. ","Blank
0 = No value
1 = Same prescriber
2 = Different prescriber",A,1,1651,1651,0,0,533-FX,Other Prescriber Indicator,Code comparing the prescriber of the current prescription to the prescriber of the previously filled conflicting prescription.
3,205,FREETEXT2,Free Text Message 2 - Drug Utilization Review (DUR),A second free-form message related to this claim's Drug Utilization Review (DUR) conflict. This information is sent from Prime to the pharmacy.,,A,30,1652,1681,0,0,544-FY,DUR Free Text Message,Text that provides additional detail regarding a DUR conflict.
3,206,DRGCNFLCT3,Drug Conflict Code 3 - Drug Utilization Review (DUR),The third reason for the Drug Utilization Review (DUR) conflict that is associated to the claim and used for DUR reporting. This reason is sent to the pharmacy.,See the Submitted Reason for Service tab.,A,2,1682,1683,0,0,439-E4,Reason For Service Code,Code identifying the type of utilization conflict detected or the reason for the pharmacist’s professional service.
3,207,SEVERITY3,Severity Index Code 3- Drug Utilization Review (DUR),"The code that indicates how critical a specific Drug Utilization  Review (DUR) conflict is. This significance code is assigned by the originating database (Medi-Span). 

","0 = Not Specified
1 = Major: Interactions are either well-documented and have the potential of being harmful to the member or have a low incidence of occurrence, but have the potential of serious adverse outcomes (i.e., life-threatening). 
2 = Moderate: Interactions are less likely than major interactions to cause harm to the member or are not documented as well as major interactions.
3 = Minor: Interactions may occur, but are the least significant because documentation is poor or conflicting. These interactions are also those that pose a limited or unclear risk to the member.",A,1,1684,1684,0,0,528-FS,Clinical Significance Code,Code identifying the significance or severity level of a clinical event as contained in the originating database.
3,208,OTHRPHARM3,Other Pharmacy Code 3 - Drug Utilization Review (DUR),"The code that indicates the location where the previous prescription was filled.  If this field contains a value, then the two pharmacies are related to the Drug Utilization Review (DUR) conflict with the current prescription. ","Blank
0 = No value; Not specified
1 = Your pharmacy
2 = Other pharmacy in same chain
3 = Other pharmacy",A,1,1685,1685,0,0,529-FT,Other Pharmacy Indicator,Code indicating the pharmacy responsible for the previous event involved in the DUR conflict.
3,209,DTEPRVFIL3,Date of Previous Fill 3 - Drug Utilization Review (DUR),"The last date that this prescription was dispensed. If this field contains a value, then the two fill dates are related to the Drug Utilization Review (DUR) conflict with the current prescription.",Format = CCYYMMDD,N,8,1686,1693,8,0,530-FU,Previous Date of Fill,Date prescription was previously filled.
3,210,QTYPRVFIL3,Quantity of Previous Fill 3 - Drug Utilization Review (DUR),"The quantity of the last fill of this prescription.  If this field contains a value, then the two quantities are related to the Drug Utilization Review (DUR) conflict with the current prescription. ",,N,11,1694,1704,11,3,531-FV,Quantity Of Previous Fill,Amount expressed in metric decimal units of the conflicting agent that was previously filled.
3,211,DATABASE3,Database Code 3 - Drug Utilization Review (DUR),"The code that indentifies the source of the data associated with the Drug Utilization Review (DUR).
","4 = Processor Developed  
2 =  Medi-Span
",A,1,1705,1705,0,0,532-FW,Database Indicator,Code identifying the source of drug information used for DUR processing or to define the database used for identifying the product.
3,212,OTHRPRESC3,Other Prescriber Code 3 - Drug Utilization Review (DUR),"The code that compares the medical provider who wrote the current prescription with the medical provider who wrote the previous prescription.  If this field contains a value, then the prescriber is related to the Drug Utilization Review (DUR) conflict with the current prescription. 

Note:  These fields help prevent prescription abuse. ","Blank
0 = No value
1 = Same prescriber
2 = Different prescriber",A,1,1706,1706,0,0,533-FX,Other Prescriber Indicator,Code comparing the prescriber of the current prescription to the prescriber of the previously filled conflicting prescription.
3,213,FREETEXT3,Free Text Message 3 - Drug Utilization Review (DUR,A third free-form message related to this claim's Drug Utilization Review (DUR) conflict. This information is sent from Prime to the pharmacy.,,A,30,1707,1736,0,0,544-FY,DUR Free Text Message,Text that provides additional detail regarding a DUR conflict.
3,214,FEETYPE,Fee Type,Field is not currently used. ,Contains only spaces to ensure the field is blank.,A,2,1737,1738,0,0,,,
1,215,AWPUNITCST,Average Wholesale Price (AWP) - Unit Cost,"The average wholesale price of a prescription drug or product as published by Medi-Span or First Data Bank. This is the price used by Prime Therapeutics in adjudicating claims with pharmacies. 

The AWP Unit Price represents the current price per each unit (e.g., tablet, capsule, lozenge, suppository, etc.) gram or milliliter as defined by the Package Size Unit of Measure. In the case when dry injectable products may be reconstituted to variable volumes, this price represents the price per single dry vial, ample, or syringe. 

Note:   When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ",Prime currently utilizes Medi-Span publications for price details,S,13,1739,1751,13,5,,,
2,216,WACUNITCST,Wholesale Acquisition Cost (WAC) - Unit Cost,The cost of the drug charged by the manufacturer to the wholesaler.  This cost is published by Medi-Span. ,Prime currently utilizes Medi-Span publications for price details,S,13,1752,1764,13,5,,,
2,217,GEAPUNTCST,Generic Equivalent Average Price (GEAP) - Unit Cost ,"The Average Wholesale Price (AWP) for all multi-source drug products that are therapeutically equivalent to the brand drug. Only multi-source products with a Therapeutic Equivalence Evaluation (TEE) Code beginning with A are included in the calculation (excluding A1 and A2).  This cost is published by Medi-Span. 

",Prime currently utilizes Medi-Span publications for price details,S,13,1765,1777,13,5,,,
3,218,CTYPEUCOST,Cost Type - Unit Cost ,"The cost of the drug, based on the submitted cost type (e.g., AWP, Submitted, etc.).",Derived from pharmacy-submitted claim cost,S,13,1778,1790,13,5,,,
3,219,BASISCOST,Basis of Cost Determination Code - Submitted ,"The code that indicates the method by which the drug cost was calculated. 

Note:  When a claim is for any multiple ingredient compound drug, this field displays the value of the most expensive legend ingredient of the compound, regardless of how the compound is set up. ",See the Submitted Basis of Cost tab. ,A,2,1791,1792,0,0,423-DN,Basis Of Cost Determination,Code indicating the method by which 'Ingredient Cost Submitted' was calculated.
3,220,PRCQTY,Pricing Quantity,The quantity of the prescription that the pharmacy submitted and dispensed.  This quantity is used to determine the price. ,This data must be submitted on the claim by the adjudicating pharmacy.,S,11,1793,1803,11,3,,,
5,221,PRODAYSSUP,Prorated Days Supply,Field is not currently used.,Contains only zeroes.,S,3,1804,1806,3,0,,,
5,222,PROQTY,Prorated Quantity,Field is not currently used.,Contains only zeroes.,S,11,1807,1817,11,3,,,
4,223,RVINCNTVSB,Reversal Incentive Amount -  Submitted,"The dollar amount of the incentive fee that was submitted by the pharmacy for a reversed claim. This amount is in addition to the dispensing fee. This fee is paid by the plan to the pharmacy when members use specific services (e.g., vaccine administration or smoking cessation).",,S,9,1818,1826,9,2,438-E3,Incentive Amount Submitted,Amount represents a fee that is submitted by the pharmacy for contractually agreed upon services. This amount is included in the 'Gross Amount Due' (43Ø-DU). 
3,224,SBMINGRCST,Ingredient Cost - Submitted,The cost of the prescription drug ingredients as submitted by the pharmacy. ,,S,9,1827,1835,9,2,409-D9,Ingredient Cost Submitted,Submitted product component cost of the dispensed prescription. This amount is included in the 'Gross Amount Due' (43Ø-DU).
3,225,SBMDISPFEE,Dispensing Fee - Submitted ,The fee for dispensing the prescription as submitted by the pharmacy.,,S,9,1836,1844,9,2,412-DC,Dispensing Fee Submitted,Dispensing fee submitted by the pharmacy. This amount is included in the 'Gross Amount Due' (43Ø-DU).
3,226,SBMPSLSTAX,Percentage Sales Tax - Submitted ,The dollar amount of the sales tax for the prescription as submitted by the pharmacy.  The pharmacy calculates the sales tax as a percentage. ,,S,9,1845,1853,9,2,482-GE,Percentage Sales Tax Amount Submitted,Percentage sales tax submitted.
3,227,SBMFSLSTAX,Flat Sales Tax - Submitted,The dollar amount of the sales tax for the prescription as submitted by the pharmacy.  The pharmacy calculates the sales tax as a flat dollar amount. ,,S,9,1854,1862,9,2,481-HA,Flat Sales Tax Amount Submitted,Flat sales tax submitted for prescription. This amount is included in the ‘Gross Amount Due’
3,228,SBMSLSTAX,Total Sales Tax - Submitted,The total amount of sales tax for the prescription as submitted by the pharmacy.  ,,S,9,1863,1871,9,2,410-DA,Sales Tax,Sales tax for the prescription dispensed.
3,229,SBMPATPAY,Member Paid Amount - Submitted,The dollar amount that the pharmacy anticipates receiving from the member for the prescription dispensed. ,,S,9,1872,1880,9,2,433-DX,Patient Paid Amount Submitted,Amount the pharmacy received from the patient for the prescription dispensed.
3,230,SBMAMTDUE,Gross Amount Due - Submitted,"The total dollar amount that the pharmacy expects to be reimbursed for the dispensed prescription from all sources, including the member and benefit plan. ",,S,9,1881,1889,9,2,430-DU,Gross Amount Due,"Total price claimed from all sources. For prescription claim request, field represents a sum of ‘Ingredient Cost Submitted’ (4Ø9-D9), ‘Dispensing Fee Submitted’ (412-DC), ‘Flat Sales Tax Amount Submitted’ (481-HA), ‘Percentage Sales Tax Amount Submitted’ (482-GE), ‘Incentive Amount Submitted’ (438-E3), ‘Other Amount Claimed’ (48Ø-H9). For service claim request, field represents a sum of ‘Professional Services Fee Submitted’ (477-BE), ‘Flat Sales Tax Amount Submitted’ (481-HA), ‘Percentage Sales Tax Amount Submitted’ (482-GE), ‘Other Amount Claimed’ (48Ø-H9)."
